Time (s),Step Airspeed Command (m/s),Distance Error (m)
0.0,17.0,41.2714219738735,12.129
0.14395356178283691,17.0,40.56573029131425,12.164
0.2873358726501465,17.0,42.165386673906596,12.164
0.4306936264038086,17.0,41.42641374062661,12.2
0.5740289688110352,17.0,43.02608299102686,12.2
0.7173652648925781,17.0,40.45433941216236,12.246
0.8608107566833496,17.0,43.6536948708195,12.246
1.0041565895080566,17.0,40.95990992846753,12.332
1.1476328372955322,17.0,40.02111876082956,12.446
1.291010856628418,17.0,41.620806772434506,12.446
1.4343628883361816,17.0,39.06027399134618,12.579
1.5786049365997314,17.0,42.259657086237,12.579
1.7221019268035889,17.0,39.53270871372193,12.739
1.8658618927001953,17.0,42.73210862353488,12.739
2.0092177391052246,17.0,40.182775333245964,12.903
2.1527445316314697,17.0,39.29984577391341,13.06
2.2961995601654053,17.0,40.89953308001234,13.06
2.4396116733551025,17.0,38.217246564850655,13.227
2.5829896926879883,17.0,41.41660578483977,13.227
2.7263357639312744,17.0,38.84539519863841,13.392
2.8696625232696533,17.0,42.04474419202891,13.392
3.0135438442230225,17.0,39.573385815328635,13.538
3.1568660736083984,17.0,38.51299988357573,13.678
3.3002681732177734,17.0,40.112647475730824,13.678
3.4437363147735596,17.0,37.497004105866715,13.81
3.587207317352295,17.0,40.696282583111085,13.81
3.730695962905884,17.0,38.258128708868526,13.916
3.8740882873535156,17.0,41.45741146747953,13.916
4.017504930496216,17.0,38.95254283869162,14.003
4.160877704620361,17.0,36.22585836461303,14.08
4.304321050643921,17.0,39.42509565287035,14.08
4.4481520652771,17.0,36.84229627722,14.152
4.591895341873169,17.0,40.041572612895685,14.152
4.735317230224609,17.0,37.658583011461154,14.21
4.878763437271118,17.0,40.857888109192196,14.21
5.022211074829102,17.0,38.38599270901054,14.251
5.165846109390259,17.0,39.985656073487114,14.251
5.309335470199585,17.0,39.13574849666775,14.271
5.452705144882202,17.0,36.88586286197942,14.258
5.59602165222168,17.0,40.08519830868217,14.258
5.739362001419067,17.0,37.85762383516321,14.211
5.883689880371094,17.0,39.45729338419338,14.211
6.027052879333496,17.0,38.81829716443939,14.128
6.170336008071899,17.0,40.41797527636404,14.128
6.313808441162109,17.0,39.93428510700778,14.009
6.457290887832642,17.0,37.81764651316295,13.853
6.600663661956787,17.0,41.016998841018406,13.853
6.744048595428467,17.0,38.900347754468534,13.678
6.887719631195068,17.0,40.500026568951334,13.678
7.031121015548706,17.0,40.071803928276594,13.479
7.174425363540649,17.0,41.671492337550816,13.479
7.31834602355957,17.0,41.12098275303634,13.264
7.461822271347046,17.0,39.01502358745354,13.05
7.6052587032318115,17.0,40.614728575739335,13.05
7.74877142906189,17.0,40.152859776543856,12.832
7.892196178436279,17.0,41.75258607854409,12.832
8.035804033279419,17.0,41.14641051896221,12.62
8.17949366569519,17.0,42.7461586575091,12.62
8.322905778884888,17.0,42.21757994007792,12.421
8.466342449188232,17.0,40.0670701690327,12.236
8.609943389892578,17.0,41.66684980434721,12.236
